Species,Subspecies,Sex,CatNo,A - total length,B - proximal width,C - depth of cotyla medialis,D - minimum width of shaft,E - minimum depth of shaft,F - distal width,G - distance between dorsal surface of trochlea metatarsi III and plantar side of trochlea metatarsi II,H - depth of lateral side of trochlea metatarsi III,I - Proximal side of base of spur core to the lateral end of Trochlea metatarsi III,J - length of spur core,Place of collection,Date of collection,My comments,Collection,Remarks 1,,
mexicana,,m,112425,168.4,25.81,15.84,9.79,6.83,26.74,14.23,11.94,74.43,14.75,"Mexico: Sonora, Yecora","March, 2003",adult,NHM LA,,spur spongy,
mexicana,,m,112427,,,,,,,,,,,Mexico,?,adult,NHM LA,,,
mexicana,,m,112432,170.5,26.15,16.14,10.22,6.72,27,14.45,13.25,71.8,11.87,"Mexico: Sonora, Yecora","March, 2003",adult,NHM LA,,spur spongy,
mexicana,,m,112451,,,,,,,,,,,"Mexico: Sonora, Yecora",spring 2003,adult,NHM LA,,No spur!,
osceola,,m,112152,170.5,23.54,14.31,9.65,5.76,23.3,13.58,11.51,69.75,,Florida: Osceola Co,23-Mar-2002,adult,NHM LA,,spur=little bump,
osceola,,m,112153,163.7,23.44,13.77,8.87,,22.04,12.66,10.53,64.37,21.49,Florida: Osceola Co,24-Mar-2002,adult,NHM LA,,spur fully developed,
osceola,,m,112154,167.65,24.47,14.31,8.66,6.12,21.56,12.53,10.98,75.18,21.06,Florida: Lake Co,22-Mar-2002,adult,NHM LA,,spur fully developed,
osceola,,m,112155,170.6,23.71,14.33,8.92,5.69,23.02,12.92,11.92,73.3,,Florida: Lake Co,23-Mar-2002,adult,NHM LA,,spur=little bump,
osceola,,m,112156,166.45,22.25,14.15,8.3,5.51,21.56,11.94,11.02,77.33,15.91,Florida,2002,adult,NHM LA,,spur fully developed,
silvestris,,m,112162,165.15,23.87,14.09,8.11,6.26,22.7,13.69,11.74,65.76,16.15,"South Carolina: Allendale Co, Martin",15-Mar-2002,adult,NHM LA,,spur probably fully developed but a little rough surface,
silvestris,,m,112163,172.9,25.67,15.91,9.74,6.53,24.97,13.03,11.95,77.23,17.13,Kansas: Marshall Co,16-Apr-2002,adult,NHM LA,,spur fully developed,
silvestris,,m,112415,168.3,24.13,15.09,9.51,6.92,22.67,14.15,11.15,77.03,10.19,Tennessee: Rutheford Co,30-Oct-2002,adult,NHM LA,,spur spongy,
silvestris,,m,112419,167.45,25.06,15.1,9.53,6.34,23.98,13.72,11.34,74.1,16.81,Tennessee: Rutheford Co,30-Oct-2002,adult,NHM LA,,spur probably fully developed but a little rough surface,
silvestris,,m,112420,159.5,22.21,13.55,8.39,6.32,22.03,12.87,11.12,65.02,14.72,"South Carolina: Saluda Co, Saluda",1-Apr-02,adult,NHM LA,,spur probably fully developed but a little rough surface,
silvestris,,m,112421,174.2,23.81,14.48,8.76,5.93,22.51,12.23,11.56,76.75,15.71,"South Carolina: Jasper Co, Ridgeland",18-Mar-03,adult,NHM LA,,spur probably fully developed but a little rough surface,
silvestris,,m,112448,164.8,23.12,14.2,8.86,5.35,21.58,12.26,11.19,72.26,18.09,Georgia: Screven Co,31-Mar-2003,adult,NHM LA,,spur probably fully developed but a little rough surface,
mexicana,,m?,112428,,,,,,,,,,,Mexico,?,adult,NHM LA,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Agriocharis (f+m+?),,,,,,,,,,,,,,,,,,,,
,,,N,16,16,16,16,14,16,16,16,9,8,,,,,,,
,,,Min,108.42,17.18,10.43,6.3,4.59,15.56,9.74,8.46,50.07,15.2,,,,,,,
,,,Max,146.7,22.17,13.03,8.19,5.89,21,12.44,10.74,62.21,30.13,,,,,,,
,,,Srednia,126.698125,19.590625,11.89,7.29875,5.3164285714,18.06375,11.1525,9.310625,56.69,23.23875,,,,,,,
,,,SD,11.5886290353,1.4823066203,0.8488423489,0.6264702706,0.3808211198,1.600303617,0.8159616004,0.6733544757,3.8332818837,4.8507479173,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
M.gallopavo (f+m+?),,,,,,,,,,,,,,,,,,,,
(all ssp),,,N,46,46,46,46,45,45,46,45,21,17,,,,,,,
,,,Min,118.16,18.29,11.34,6.85,4.59,18.2,9.66,8.7,64.37,10.19,,,,,,,
,,,Max,174.2,26.15,16.14,10.22,6.92,27,14.45,13.25,79.99,21.49,,,,,,,
,,,Srednia,147.0830434783,21.9713043478,13.5445652174,8.3519565217,5.648,21.6724444444,11.9806521739,10.5555555556,72.5833333333,16.7,,,,,,,
,,,SD,19.5575857258,2.4057473856,1.4574585285,0.9178637506,0.6607626448,2.4660422428,1.4384195064,1.2008870879,4.4747160059,3.1335842098,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
M.gallopavo (FF),,,,,,,,,,,,,,,,,,,,
(all ssp),,,N,23,23,23,23,23,22,23,22,0,0,,,,,,,
,,,Min,118.16,18.29,11.34,6.85,4.59,18.2,9.66,8.7,0,0,,,,,,,
,,,Max,137.78,21.17,13.36,8.58,5.9,21.93,12.15,10.28,0,0,,,,,,,
,,,Srednia,128.6352173913,19.7995652174,12.2856521739,7.5904347826,5.1286956522,19.6240909091,10.7173913043,9.4727272727,#DIV/0!,#DIV/0!,,,,,,,
,,,SD,5.8973213253,0.8069554356,0.586079626,0.4248473337,0.3518044957,1.1463052826,0.5782985812,0.4860646814,#DIV/0!,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
M.gallopavo (MM),,,,,,,,,,,,,,,,,,,,
(all ssp),,,N,22,22,22,22,21,22,22,22,21,17,,,,,,,
,,,Min,156.2,22.21,13.55,8.11,5.35,21.56,11.94,10.53,64.37,10.19,,,,,,,
,,,Max,174.2,26.15,16.14,10.22,6.92,27,14.45,13.25,79.99,21.49,,,,,,,
,,,Srednia,166.3522727273,24.2422727273,14.8681818182,9.1390909091,6.1614285714,23.6495454545,13.2713636364,11.6172727273,72.5833333333,16.7,,,,,,,
,,,SD,4.6348184655,1.0730017167,0.7870840481,0.5745549755,0.4122655178,1.6793634771,0.7546824968,0.6048154525,4.4747160059,3.1335842098,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
M.californica (f+m+?),,,,,,,,,,,,,,,,,,,,
,,,N,395,509,528,491,512,484,468,471,175,182,,,,,,,
,,,Min,102.61,16.33,10.15,6.23,4.16,16.9,9.04,8.07,58.38,11.22,,,,,,,
,,,Max,150.75,24.23,15.29,9.68,6.43,24.63,13.47,11.91,71.85,28.94,,,,,,,
,,,Srednia,128.282886076,20.0870923379,12.5740719697,7.7997148676,5.1987109375,20.6078512397,11.2969230769,10.0415923567,64.9899428571,17.3764285714,,,,,,,
,,,SD,13.137158242,1.923606509,1.259050684,0.8749478819,0.51502085,1.9853797741,1.1659933127,0.9497707514,2.5675827214,3.0090133279,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
********,,,,******,,,*****,,,*****,,,*****,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
M.g.intermedia (f+m),,,N,9,9,9,9,9,9,9,9,5,3,,,,,,,
,,,Min,122.91,18.7,11.48,7.07,4.78,18.2,10.33,8.7,67.37,18.84,,,,,,,
,,,Max,170.5,24.57,16.1,9.54,6.48,24.06,13.92,12.25,75.96,21.2,,,,,,,
,,,Srednia,147.8622222222,21.9155555556,13.6388888889,8.2655555556,5.63,21.44,12.05,10.4466666667,72.22,19.81,,,,,,,
,,,SD,21.7922261241,2.637267104,1.7309711468,0.9682989093,0.6997499553,2.4842000725,1.5576424493,1.3868399331,3.7687995436,1.2347874311,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
M.g.merriami (f+m),,,N,9,9,9,9,9,8,9,9,2,2,,,,,,,
,,,Min,118.16,18.29,11.83,7.26,4.59,18.87,10.26,9.01,68.85,14.38,,,,,,,
,,,Max,164,25.88,15.83,9.92,6.27,26.32,14.27,12.59,79.99,16.21,,,,,,,
,,,Srednia,131.4188888889,20.8322222222,13.08,7.8988888889,5.2211111111,21.105,11.2388888889,10.1033333333,74.42,15.295,,,,,,,
,,,SD,16.7066367385,2.6971502451,1.4158301452,0.9810000566,0.5789741886,3.0402678453,1.4962155965,1.3224314727,7.8771695424,1.2940054096,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
M.g.osceola (f+m),,,N,8,8,8,8,7,8,8,8,5,3,,,,,,,
,,,Min,131.61,19.23,11.34,7.27,4.78,18.41,9.66,8.72,64.37,15.91,,,,,,,
,,,Max,170.6,24.47,14.33,9.65,6.12,23.3,13.58,11.92,77.33,21.49,,,,,,,
,,,Srednia,155.3875,21.93875,13.22,8.4075,5.4657142857,20.90125,11.71,10.4125,71.986,19.4866666667,,,,,,,
,,,SD,17.3224888924,2.2160482041,1.3372359552,0.7707093208,0.4445168592,2.0259984311,1.4846740864,1.1638943251,5.0864948639,3.104936929,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
M.g.mexicana (f+m),,,N,8,8,8,8,8,8,8,8,2,2,,,,,,,
,,,Min,132.93,20.54,12.53,8.03,5.2,20.95,11.27,9.98,71.8,11.87,,,,,,,
,,,Max,170.5,26.15,16.14,10.22,6.83,27,14.45,13.25,74.43,14.75,,,,,,,
,,,Srednia,148.1025,22.74625,14.12,8.88,6.0175,23.5575,12.69125,11.0875,73.115,13.31,,,,,,,
,,,SD,15.8906421249,2.3951793103,1.5331666576,0.8239798888,0.6713472595,2.4590924574,1.2639556672,1.1478520313,1.8596908345,2.0364675298,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
M.g.silvestris (f+m),,,N,11,11,11,11,11,11,11,11,7,7,,,,,,,
,,,Min,124.2,19.34,11.73,6.85,4.66,18.45,10.52,8.96,65.02,10.19,,,,,,,
,,,Max,174.2,25.67,15.91,9.74,6.92,24.97,14.15,11.95,77.23,18.09,,,,,,,
,,,Srednia,153.4772727273,22.61,13.8036363636,8.4063636364,5.8809090909,21.6827272727,12.3518181818,10.7318181818,72.5928571429,15.5428571429,,,,,,,
,,,SD,19.9212786191,2.148832241,1.3428795384,0.9710228908,0.6819157506,2.0117708165,1.2503744894,1.0322094573,5.2423204604,2.5929180106,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Measured:,,All figured specimens,,,,,,,,,,,,,,,,,,
,,"2 drawers with complete, rigth TMT",,,,,,,,,,,,,,,,,,
,,"2 drawers with complete, left TMT",,,,,,,,,,,,,,,,,,
,,"prox, right TMT",,,,,,,,,,,,,,,,,,
,,"dist, right TMT",,,,,,,,,,,,,,,,,,
,,specimens cataloged by me: right,,,,,,,,,,,,,,,,,,
,,Pit 91 + PMS,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
To be done: ,,Lefts:  prox + dist,,,,,,,,,,,,,,,,,,
,,specimens cataloged by me: left,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Spur with rough surface or even spongy spurs were also on otherwise fully developed (=adult) specimens.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Only specimens with well developed articulations were measured. Specimens marked ""imm (prox part spongy)"" are certainly juv but articular surfaces are well developed - only measurement D (=4 =minimum width of shaft) may be a little smaller (check it or discard?). ",,,,,,,,,,,,,,,,,,,,
"Measurement # 4 (minimum width of shaft) may be slightly smaller in specimens marked as ""imm?, imm"" (contradicting the comment ""Measurements <probably> OK""). It may be better not to include them in final statistics and ratios!!",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Juvenile & damaged specimens excluded (unless they are within size range),,,,,,,,,,,,,,,,,,,,
Excluded specimens: ,,,,M.californica,,R 43992 (measurement C),,,,,,,,,,,,,,
,,,,,,C 9153 (measurement D),,,,,,,,,,,,,,
,,,,,,E 6358 (measurement D),,,,,,,,,,,,,,
,,,,,,E 5718 (measurement D),,,,,,,,,,,,,,
,,,,,,E 7761 (measurement D),,,,,,,,,,,,,,
,,,,,,E 7671 (measurement I),,,,,,,,,,,,,,
,,,,,,E 7538 (measurement I),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"M.g.mexicana # 112451 was excluded from descriptive statistics (only from the analysis where sexes are treated separately) because although its label says it is a male, the measurements of some bones (e.g. TMT, CMC, RAD, ULNA, HUM, COR) show it is an atypical specimen whose measurements are between those of males and females.",,,,,,,,,,,,,,,,,,,,
