Species,Subspecies,Sex,CatNo,A - total length,B - proximal width,C - depth of cotyla medialis,D - minimum width of shaft,E - minimum depth of shaft,F - distal width,G - distance between dorsal surface of trochlea metatarsi III and plantar side of trochlea metatarsi II,H - depth of lateral side of trochlea metatarsi III,I - Proximal side of base of spur core to the lateral end of Trochlea metatarsi III,J - length of spur core,Place of collection,Date of collection,My comments,Collection,Remarks 1,,
californica,,,E 6304,137.26,18.6,13.15,7.46,5.02,21.89,11.31,,,,Rancho La Brea,R,adult,,,No spur,
californica,,,E 7761,115.9,17.18,11.26,,4.29,18.28,9.89,9.22,,,Rancho La Brea,R,imm?,,Measurements probably OK,No spur,
californica,,,E 6291,102.61,17.59,10.67,6.91,4.66,18.04,9.31,8.57,,,Rancho La Brea,R,adult,,,,
californica,,,K 3094,113.4,18.32,11.41,7.07,4.68,18.44,10.1,9.11,,,Rancho La Brea,R,imm?,,Measurements probably OK,,
californica,,,E 5269,117.49,18.28,11.41,6.89,5.07,18.78,10.68,9.07,,,Rancho La Brea,R,adult,,,,
californica,,,E 7738,109.6,16.33,10.37,6.73,4.4,17.84,9.66,8.96,,,Rancho La Brea,R,adult,,,,
californica,,,E 5493,115.5,18.11,11.4,6.55,4.4,19.48,10.46,9.51,,,Rancho La Brea,R,adult,,,,
californica,,,E 6710,111.87,18.45,11.18,6.5,4.59,18.13,10.16,9.21,,,Rancho La Brea,R,adult,,,,
californica,,,E 7675,107.86,18.48,11.3,6.79,4.96,17.65,10.73,9.25,,,Rancho La Brea,R,adult,,,,
californica,,,E 8454,116.02,18.62,11.69,7.12,4.85,18.54,10.21,9.1,,,Rancho La Brea,R,adult,,,,
californica,,,E 5427,120.69,19.16,11.77,6.9,5.11,19.88,10.36,9.48,,,Rancho La Brea,R,adult,,,,
californica,,,E 7608,115.16,18.07,11.01,7.16,4.68,18.61,10.25,9.19,,,Rancho La Brea,R,adult,,,,
