Catalog #,Pit #,Age,Total length,Proximal width,Proximal depth,Midshaft width,Midshaft depth,Distal width,Distal depth,Prox area,Mid area,Dist area
B7458,61,12000,120.9,28.8,22.6,15.5,10.4,31.2,18.8,650.9,161.2,586.6
B7459,61,12000,116.1,26.5,21.1,16,10.2,32.4,20.2,559.2,163.2,654.5
B7494,61,12000,111.9,28.9,22.8,15.3,10.3,30.6,21.4,658.9,157.6,654.8
B7524,61,12000,120,27.8,20.5,14.7,9.8,31.4,20.4,569.9,144.1,640.6
B7540,61,12000,123.7,28.3,20.8,15.5,10.5,32.9,21.3,588.6,162.8,700.8
B7544,61,12000,129.8,28.5,23.3,16.9,9.9,33.2,20.7,664.1,167.3,687.2
B7665,61,12000,118.6,27.6,22,14.1,9.8,31.4,20.7,607.2,138.2,650
B7671,61,12000,121,27.2,22.9,16.1,10.1,32.1,20.9,622.9,162.6,670.9
B7747,61,12000,122.5,27.7,22.5,16,9.8,32.3,19.6,623.3,156.8,633.1
B7749,61,12000,123.4,29.4,23.8,15.9,10.7,32.5,21,699.7,170.1,682.5
B7786,61,12000,119.8,29.3,24.5,16,9.9,34.2,23.2,717.9,158.4,793.4
B7848,61,12000,114.9,27.3,21.6,14.8,9.3,30.5,19.2,589.7,137.6,585.6
B7859,61,12000,120.2,27.4,23.3,14.6,9.6,33.8,21.3,638.4,140.2,719.9
B7880,61,12000,120.6,28.7,22.9,16.1,9.4,32.7,20.7,657.2,151.3,676.9
B7886,61,12000,123.9,27.6,22.3,16.1,10.8,33.2,20,615.5,173.9,664
B7890,61,12000,120.3,28.4,22.5,16.1,10.5,30.3,20.4,639,169.1,618.1
B7896,61,12000,119.5,28.7,23.4,16.7,10.7,32.4,21,671.6,178.7,680.4
B7897,61,12000,120.2,28.1,22,15.3,10.2,31,21.4,618.2,156.1,663.4
B7905,61,12000,122.1,27.1,22.4,15.1,10.2,33.7,21.7,607,154,731.3
B7934,61,12000,118.8,29.9,23.4,15.4,10.3,32,22.7,699.7,158.6,726.4
B7959,61,12000,111.2,26,23.1,16.6,10,31.6,19.9,600.6,166,628.8
B7966,61,12000,114.1,26.8,23.4,14.7,9.6,30.1,20.3,627.1,141.1,611
B7973,61,12000,118.3,26.9,22.1,13.2,9.3,29.8,21.1,594.5,122.8,628.8
B6658,67,12000,120.2,28,22.6,14.8,9.5,31.7,20.2,632.8,140.6,640.3
B6685,67,12000,116.7,27.1,22.7,15.2,9.3,31.5,19.7,615.2,141.4,620.6
B6721,67,12000,126,29.7,24.2,14.3,9.7,32.8,23.1,718.7,138.7,757.7
B6742,67,12000,115.6,27.8,20.7,14.2,8.4,30.9,20.2,575.5,119.3,624.2
B6793,67,12000,117.3,26.2,22,14,9.2,31.5,20.3,576.4,128.8,639.5
B6822,67,12000,115.9,25.6,20.4,14.9,10,29.6,19.6,522.2,149,580.2
