A - total length,B - proximal width,C - depth of cotyla medialis,D - minimum width of shaft,E - minimum depth of shaft,F - distal width,G - distance between dorsal surface of trochlea metatarsi III and plantar side of trochlea metatarsi II,H - depth of lateral side of trochlea metatarsi III,I - Proximal side of base of spur core to the lateral end of Trochlea metatarsi III,J - length of spur core,Place of collection,Date of collection,My comments,Collection,Remarks 1,,,
110.88,18.49,11.46,7.06,4.93,19.21,10.73,9.17,,,Rancho La Brea,R,adult,,,,,
119.1,18.37,11.55,7.2,4.81,18.71,10.81,9.2,,,Rancho La Brea,R,adult,,,,,
116.2,17.02,10.86,6.95,4.8,,,8.9,,,Rancho La Brea,R,adult,,,,,
117.28,18.93,11.52,7.46,4.97,19.91,10.46,9.5,,,Rancho La Brea,R,adult,,,,,
111.88,17.95,11.57,6.6,4.62,18.39,10.15,9.2,,,Rancho La Brea,R,adult,,,,,
120.41,18.3,10.96,7.27,5.03,19.05,11.32,9.4,,,Rancho La Brea,R,adult,,,,,
120.62,18.74,11.76,7.39,4.79,19.13,10.63,9.77,,,Rancho La Brea,R,adult,,,,,
118.47,18.21,11.05,7.17,4.8,19.49,10.77,8.89,,,Rancho La Brea,R,adult,,,,,
115.07,17.97,11.52,7.03,4.95,19,10.6,9.47,,,Rancho La Brea,R,adult,,,,,
118.33,18.99,11.53,6.59,4.52,19.32,9.67,9.19,,,Rancho La Brea,R,adult,,,,,
117.54,19.02,11.74,6.82,4.92,18.94,10.97,9.18,,,Rancho La Brea,R,adult,,,,,
117.02,18.67,11.16,7.33,4.84,19,10.27,9.56,,,Rancho La Brea,R,adult,,,,,
113.78,18.07,11.18,6.64,4.48,20,9.98,9.51,,,Rancho La Brea,R,adult,,,,,
120.62,18.27,11.72,7.64,5.34,18.54,10.08,9.14,,,Rancho La Brea,R,adult,,,,,
126.62,18.52,12.24,7.49,5,20.35,10.51,10.06,,,Rancho La Brea,R,adult,,,,,
111.84,18.42,11.22,6.54,4.69,18.54,10.34,9.12,,,Rancho La Brea,R,adult,,,,,
113.87,18.26,11,6.83,4.77,19.19,10.38,9.33,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,,
120.14,18.74,11.88,7.42,4.78,18.54,10.08,9.18,,,Rancho La Brea,R,adult,,,,,
115.31,18.53,11.65,7.13,4.67,19.94,10.03,,,,Rancho La Brea,R,adult,,,,,
119.84,,10.93,7.1,4.69,,,9.64,,,Rancho La Brea,R,adult,,,,,
116.93,18.58,11.75,6.73,4.75,19.26,11.29,9.58,,,Rancho La Brea,R,adult,,,,,
110.04,18.02,11.13,6.86,4.68,18.89,10.5,9.49,,,Rancho La Brea,R,imm?,,Measurements probably OK,,,
119.12,17.73,11.59,,4.56,18.49,10.12,8.98,,,Rancho La Brea,R,imm?,,Measurements probably OK,,,
118.4,18.68,11.59,6.9,4.89,19.18,10.88,9.57,,,Rancho La Brea,R,adult,,,,,
116.72,18.5,11.62,6.57,4.48,18.21,10.16,9.01,,,Rancho La Brea,R,adult,,,,,
110.35,17.19,11,6.37,4.44,18.16,10.02,9.15,,,Rancho La Brea,R,imm?,,Measurements probably OK,,,
119.43,18.41,,7.14,5.14,19.94,10.51,9.81,,,Rancho La Brea,R,imm?,,Measurements probably OK,,,
113.67,17.36,10.87,,4.43,17.85,10.14,8.81,,,Rancho La Brea,R,imm?,,Measurements probably OK,,,
113.74,17.68,11.08,6.89,4.65,17.9,10.3,9.06,,,Rancho La Brea,R,imm?,,Measurements probably OK,,,
115.15,18.3,11.81,6.93,4.58,18.55,10.12,8.99,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,,
116.31,17.98,11.54,6.52,4.86,18.79,10.05,9.05,,,Rancho La Brea,R,imm?,,Measurements probably OK,,,
112.99,18.01,11.24,6.87,4.63,18.83,10.3,9.28,,,Rancho La Brea,R,adult,,,,,
